title,cast,directors,writers,genres,keywords,"content_rating,",run_time,release_year,languages,rating,budget,revenue,opening_weekend_revenue,production_companies,production_countries,alternative_titles
The Big Sick,Kumail Nanjiani;Zoe Kazan;Holly Hunter;Ray Romano;Anupam Kher,Michael Showalter,Emily V. Gordon;Kumail Nanjiani,Comedy;Drama;Romance,interracial love;stand up comedy;illness;family relationships;arranged marriage,R,120,2017,English;Urdu,7.6,$5000000,$44328624,$421577,Apatow Productions;FilmNation Entertainment;Story Ink,USA,Un amor inseparable
The Godfather,Marlon Brando;Al Pacino;James Caan;Richard S. Castellano;Robert Duvall,Francis Ford Coppola,Mario Puzo;Francis Ford Coppola,Crime;Drama,mafia;crime family;patriarch;organized crime;rise to power,R,175,1972,English;Italian;Latin,9.2,$6000000,$245066411,$302393,Paramount Pictures;Alfran Productions,USA,Mario Puzo's The Godfather
Only the Brave,Josh Brolin;Miles Teller;Jeff Bridges;Jennifer Connelly;James Badge Dale,Joseph Kosinski,Sean Flynn;Ken Nolan,Biography;Drama,wildfire;firefighter;forest fire;natural disaster;helicopter,PG-13,134,2017,English,7.7,$38000000,,$6002665,Black Label Media;Conde Nast Entertainment;Di Bonaventura Pictures,USA,Granite Mountain
The Shawshank Redemption,Tim Robbins;Morgan Freeman;Bob Gunton;William Sadler;Clancy Brown,Frank Darabont,Stephen King;Frank Darabont,Crime;Drama,wrongful imprisonment;prison;escape from prison;prison cell search;friendship between men,R,142,1994,English,9.3,$25000000,$58500000,$727326,Castle Rock Entertainment,USA,Rita Hayworth and Shawshank Redemption
You Were Never Really Here,Joaquin Phoenix;Dante Pereira-Olson;Larry Canady;Vinicius Damasceno;Neo Randall,Lynne Ramsay,Lynne Ramsay;Jonathan Ames,Drama;Mystery;Thriller,f rated;title directed by female;burning a photograph;burning photograph;hotel,R,90,2017,English,7.5,,,,Why Not Productions;Film4;British Film Institute (BFI) Production Board,UK;France;USA,A Beautiful Day
Blade Runner,Harrison Ford;Rutger Hauer;Sean Young;Edward James Olmos;M. Emmet Walsh,Ridley Scott,Hampton Fancher;David Webb Peoples,Sci-Fi;Thriller,tech noir;human android relationship;police detective;female android;artificial intelligence,R,117,1982,English;German;Cantonese;Japanese;Hungarian;Arabic,8.2,$28000000,,$6150002,"Ladd Company, The;Shaw Brothers;Warner Bros.",USA;Hong Kong,Dangerous Days
Logan,Hugh Jackman;Patrick Stewart;Dafne Keen;Boyd Holbrook;Stephen Merchant,James Mangold,James Mangold;Scott Frank,Action;Drama;Sci-Fi;Thriller,x men;marvel comics;superhero;mutant;reluctant hero,R,137,2017,English;Spanish,8.1,$97000000,$616225934,$88411916,Twentieth Century Fox;Marvel Entertainment;TSG Entertainment,Canada;Australia;USA,Logan
Moana,Auli'i Cravalho;Dwayne Johnson;Rachel House;Temuera Morrison;Jemaine Clement,Ron Clements;John Musker,Jared Bush;Ron Clements,Animation;Adventure;Comedy;Family;Fantasy;Musical,island;ocean;polynesia;polynesian;saving the world,PG,107,2016,English,7.6,$150000000,$643031115,$56631401,Walt Disney Animation Studios;Walt Disney Pictures,USA,Vaiana
The Dark Knight,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Maggie Gyllenhaal,Christopher Nolan,Jonathan Nolan;Christopher Nolan,Action;Crime;Thriller,dc comics;moral dilemma;psychopath;clown;scarred face,PG-13,152,2008,English;Mandarin,9.0,$185000000,$1004558444,$158411483,Warner Bros.;Legendary Entertainment;Syncopy,USA;UK,Batman Begins 2
Mary Poppins,Julie Andrews;Dick Van Dyke;David Tomlinson;Glynis Johns;Hermione Baddeley,Robert Stevenson,Bill Walsh;Don DaGradi,Comedy;Family;Fantasy;Musical,nanny;female protagonist;live action and animation;family relationships;magic,G,139,1964,English,7.8,$6000000,$115272727,,Walt Disney Productions,USA,Meri Popins
The Wolf of Wall Street,Leonardo DiCaprio;Jonah Hill;Margot Robbie;Matthew McConaughey;Kyle Chandler,Martin Scorsese,Terence Winter;Jordan Belfort,Biography;Comedy;Crime;Drama,stockbroker;sex in an airplane;based on true story;female rear nudity;female frontal nudity,R,180,2013,English;French,8.2,$100000000,$392000694,$18361578,Red Granite Pictures;Appian Way;Sikelia Productions,USA,El lobo de Wall Street
